Sample_ID,QPCR_Sample_ID,Collect_Site,Frog_ID,Sample_Status,Extract_Plate_ID,Extract_Date,Extract_Lab,Extract_Tech,Extract_Loc,Extract_Well_Pos,Extract_Neg_Cont,Extract_BdPosCont,QPCR_Plate_ID,QPCR_Date,QPCR_File_Name,QPCR_Lab,QPCR_Tech,QPCR_Well_Pos,QPCR_Diluted,QPCR_NegCont,Sample_Quality,Sample_IPC,Sample_Rerun,Sample_Bd,Sample_Bd_CT,Sample_Bd_qty,Sample_Bd_swab_qty,Sample_Bsal,Sample_Bsal_CT,Sample_Bsal_qty,Sample_Bsal_swab_qty,Notes
17.12.05 CR03 AMMA,17.12.05 CR03 AMMA,LA,17.12.05 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,E9,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,E11,no,negative,pass,pass,no,negative,,,,negative,,,,No swab
17.12.05 CRO3 AMMA,17.12.05 CRO3 AMMA,LA,17.12.05 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,F9,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,F11,no,negative,pass,pass,no,negative,,,,negative,,,,
17.12.05 LR02 AMOP,17.12.05 LR02 AMOP,LA,17.12.05 ,Complete,076_AHD,9/11/18,RZ Lab,AHD,Pitt -80,C9,negative,positive,SERDP_98_091818,9/18/18,SERDP_98_091818,RZ lab,AHD,C11,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-01-LA06-AMOP,180111 LA6-01,LA,180111-01,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,E12,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,E12,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-02-LA06-AMOP,180111 LA6-02,LA,180111-02,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F1,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F1,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-03-LA06-AMOP,180111 LA6-03,LA,180111-03,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F2,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F2,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-04-LA06-AMOP,180111 LA6-04,LA,180111-04,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F3,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F3,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-05-LA06-AMOP,180111 LA6-05,LA,180111-05,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F4,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F4,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-06-LA06-AMMA,180111 LA6-06,LA,180111-06,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F5,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F5,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-07-LA06-AMOP,180111 LA6-07,LA,180111-07,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F6,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F6,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-08-LA06-AMOP,180111 LA6-08,LA,180111-08,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F7,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F7,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-09-LA06-AMMA,180111 LA6-09,LA,180111-09,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F8,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F8,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-10-LA06-AMMA,180111 LA6-10,LA,180111-10,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F9,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F9,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-11-LA06-AMOP,180111 LA6-11,LA,180111-11,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F10,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F10,no,negative,pass,pass,no,negative,,,,negative,,,,
180111-12-LA06-LICL,180111 LA6-12,LA,180111-12,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F11,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F11,no,negative,pass,pass,no,negative,,,,negative,,,,
180115-01-LA05-LICL,180115 LA5-01,LA,180115-01,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,F12,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,F12,no,negative,pass,pass,no,negative,,,,negative,,,,
180115-02-LA05-ACBL,180115 LA5-02,LA,180115-02,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G1,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G1,no,negative,pass,pass,no,negative,,,,negative,,,,
180119-01-LA02-SIIN,180119 LA2-01,LA,180119-01,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G2,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G2,no,negative,pass,pass,no,negative,,,,negative,,,,
180119-02-LA02-LISP,180119 LA2-02,LA,180119-02,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G3,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G3,no,negative,pass,pass,no,negative,,,,negative,,,,
180119-03-LA02-LISP,180119 LA2-03,LA,180119-03,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G4,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G4,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-01-LA04-LISP,180120 LA4-01,LA,180120-01,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G5,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G5,no,negative,pass,pass,no,positive,28.94326973,185.2346649,7409.386597,negative,,,,
180120-02-LA04-PSCR,180120 LA4-02,LA,180120-02,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G6,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G6,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-03-LA04-PSCR,180120 LA4-03,LA,180120-03,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G7,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G7,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-04-LA04-PSCR,180120 LA4-04,LA,180120-04,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G8,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G8,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-05-LA04-PSCR,180120 LA4-05,LA,180120-05,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G9,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G9,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-06-LA04-PSCR,180120 LA4-06,LA,180120-06,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G10,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G10,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-07-LA04-PSCR,180120 LA4-07,LA,180120-07,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G11,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G11,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-08-LA04-PSCR,180120 LA4-08,LA,180120-08,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,G12,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,G12,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-09-LA04-PSCR,180120 LA4-09,LA,180120-09,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H1,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H1,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-10-LA04-PSCR,180120 LA4-10,LA,180120-10,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H2,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H2,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-11-LA04-PSCR,180120 LA4-11,LA,180120-11,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H3,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H3,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-12-LA04-PSCR,180120 LA4-12,LA,180120-12,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H4,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H4,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-13-LA04-PSCR,180120 LA4-13,LA,180120-13,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H5,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H5,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-14-LA04-PSCR,180120 LA4-14,LA,180120-14,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H6,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H6,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-15-LA04-PSCR,180120 LA4-15,LA,180120-15,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H7,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H7,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-16-LA04-PSCR,180120 LA4-16,LA,180120-16,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H8,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H8,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-17-LA04-PSCR,180120 LA4-17,LA,180120-17,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H9,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H9,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-18-LA04-PSCR,180120 LA4-18,LA,180120-18,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H10,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H10,no,negative,pass,pass,no,positive,35.4553566,1.786623836,71.46495342,negative,,,,
180120-19-LA04-PSCR,180120 LA4-19,LA,180120-19,Complete,DPW_040418_SERDP_52,4/4/18,RZ lab,DPW,Pitt -80,H11,negative,positive,SERDP_62_040618,4/6/18,SERDP_62_040618,RZ lab,DPW,H11,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-20-LA04-PSCR,180120 LA04-20,LA,180120-20,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A1,negative,positive,SERDP_64_051418,5/14/18,SERDP_64_051418,RZ lab,DPW,B1,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-21-LA04-PSCR,180120 LA04-21,LA,180120-21,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A2,negative,positive,SERDP_64_051418,5/14/18,SERDP_64_051418,RZ lab,DPW,B2,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-22-LA04-PSCR,180120 LA04-22,LA,180120-22,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A3,negative,positive,SERDP_64_051418,5/14/18,SERDP_64_051418,RZ lab,DPW,B3,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-23-LA04-PSCR,180120 LA04-23,LA,180120-23,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A4,negative,positive,SERDP_64_051418,5/14/18,SERDP_64_051418,RZ lab,DPW,B4,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-24-LA04-PSCR,180120 LA04-24,LA,180120-24,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A5,negative,positive,SERDP_64_051418,5/14/18,SERDP_64_051418,RZ lab,DPW,B5,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-25-LA04-PSCR,180120 LA04-25,LA,180120-25,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A6,negative,positive,SERDP_64_051418,5/14/18,SERDP_64_051418,RZ lab,DPW,B6,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-26-LA04-PSCR,180120 LA04-26,LA,180120-26,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A7,negative,positive,SERDP_64_051418,5/14/18,SERDP_64_051418,RZ lab,DPW,B7,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-27-LA04-PSCR,180120 LA04-27,LA,180120-27,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A8,negative,positive,SERDP_64_051418,5/14/18,SERDP_64_051418,RZ lab,DPW,B8,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-28-LA04-PSCR,180120 LA04-28,LA,180120-28,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A9,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,A9,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-29-LA04-PSCR,180120 LA04-29,LA,180120-29,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A10,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,A10,no,negative,pass,pass,no,positive,36.88866806,4.144722939,165.7889175,negative,,,,
180120-30-LA04-PSCR,180120 LA04-30,LA,180120-30,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A11,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,A11,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-31-LA04-HYCH,180120 LA04-31,LA,180120-31,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,A12,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,A12,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-32-LA04-HYCH,180120 LA04-32,LA,180120-32,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B1,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B1,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-33-LA04-HYCH,180120 LA04-33,LA,180120-33,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B2,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B2,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-34-LA04-HYCH,180120 LA04-34,LA,180120-34,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B3,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B3,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-35-LA04-HYCH,180120 LA04-35,LA,180120-35,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B4,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B4,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-36-LA04-HYCH,180120 LA04-36,LA,180120-36,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B5,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B5,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-37-LA04-HYCH,180120 LA04-37,LA,180120-37,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B6,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B6,no,negative,pass,pass,no,negative,,,,negative,,,,
180120-38-LA04-HYCH,180120 LA04-38,LA,180120-38,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B7,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B7,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-01-LA03-AMMA,180121 LA03-01,LA,180121-01,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B8,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B8,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-02-LA03-AMMA,180121 LA03-02,LA,180121-02,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B9,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B9,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-03-LA03-AMMA,180121 LA03-03,LA,180121-03,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B10,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B10,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-04-LA03-AMMA,180121 LA03-04,LA,180121-04,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B11,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B11,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-05-LA03-AMMA,180121 LA03-05,LA,180121-05,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,B12,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,B12,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-06-LA03-LICL,180121 LA03-06,LA,180121-06,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C1,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C1,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-07-LA03-EUQU,180121 LA03-07,LA,180121-07,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C2,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C2,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-08-LA03-EUQU,180121 LA03-08,LA,180121-08,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C3,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C3,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-09-LA03-EUQU,180121 LA03-09,LA,180121-09,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C4,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C4,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-10-LA03-EUQU,180121 LA03-10,LA,180121-10,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C5,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C5,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-11-LA03-EUQU,180121 LA03-11,LA,180121-11,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C6,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C6,no,negative,pass,pass,no,positive,29.58489037,739.7877197,29591.50879,negative,,,,
180121-12-LA03-EUQU,180121 LA03-12,LA,180121-12,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C7,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C7,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-13-LA03-EUQU,180121 LA03-13,LA,180121-13,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C8,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C8,no,negative,pass,pass,no,positive,33.4299469,48.27824783,1931.129913,negative,,,,
180121-14-LA03-EUQU,180121 LA03-14,LA,180121-14,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C9,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C9,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-15-LA03-EUQU,180121 LA03-15,LA,180121-15,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C10,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C10,no,negative,pass,pass,no,positive,38.38964081,1.428153872,57.1261549,negative,,,,
180121-16-LA03-EUQU,180121 LA03-16,LA,180121-16,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C11,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C11,no,negative,pass,pass,no,positive,32.74360657,78.58448029,3143.379211,negative,,,,
180121-17-LA03-ANFO,180121 LA03-17,LA,180121-17,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,C12,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,C12,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-18-LA03-ANFO,180121 LA03-18,LA,180121-18,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,D1,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,D1,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-19-LA01-LISP,180121 LA01-19,LA,180121-19,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,D2,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,D2,no,negative,pass,pass,no,positive,34.11580276,29.66986465,1186.794586,negative,,,,
180121-20-LA01-LISP,180121 LA01-20,LA,180121-20,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,D3,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,D3,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-21-LA01-LISP,180121 LA01-21,LA,180121-21,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,D4,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,D4,no,negative,pass,pass,no,negative,,,,negative,,,,
180121-22-LA01-LISP,180121 LA01-22,LA,180121-22,Complete,DPW_040918_SERDP_53,4/9/18,RZ lab,DPW,Pitt -80,D5,negative,positive,SERDP_65_051518,5/15/18,SERDP_65_051518,RZ lab,DPW,D5,no,negative,pass,pass,no,negative,,,,negative,,,,
