Sample_ID,Collect_Site,Frog_ID,Sample_Status,Extract_Plate_ID,Extract_Date,Extract_Lab,Extract_Tech,Extract_Loc,Extract_Well_Pos,Extract_Neg_Cont,Extract_BdPosCont,QPCR_Plate_ID,QPCR_Date,QPCR_File_Name,QPCR_Lab,QPCR_Tech,QPCR_Well_Pos,QPCR_Diluted,QPCR_NegCont,Sample_Quality,Sample_IPC,Sample_Rerun,Sample_Bd,Sample_Bd_CT,Sample_Bd_qty,Sample_Bd_swab_qty,Sample_Bsal,Sample_Bsal_CT,Sample_Bsal_qty,Sample_Bsal_swab_qty,Notes
190716-08-PA03-LIPI,PA,190716-08,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,E12,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,E12,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190716-10-PA03-LIPI,PA,190716-10,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,F1,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,F1,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190716-13-PA03-LIPI,PA,190716-13,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,F4,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,F4,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190716-14-PA03-LIPI,PA,190716-14,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,F5,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,F5,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190716-19-PA03-ANAM,PA,190716-19,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,F8,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,F8,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190716-20-PA03-ANAM,PA,190716-20,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,F9,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,F9,no,negative,pass,pass,no,positive,36.99016571,0.004366586,0.174663421,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-01-PA01-ANAM,PA,190717-01,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,F10,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,F10,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-01-PA03-LIPI,PA,190717-01,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,H2,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,H2,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-02-PA03-LIPI,PA,190717-02,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,G8,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,G8,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-03-PA03-LIPI,PA,190717-03,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,G9,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,G9,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-06-PA03-LIPI,PA,190717-06,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,G11,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,G11,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-07-PA03-LIPI,PA,190717-07,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,G12,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,G12,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-09-PA01-LICL,PA,190717-09,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,G1,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,G1,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-10-PA01-LICL,PA,190717-10,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,G2,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,G2,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-10-PA03-ANAM,PA,190717-10,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,H4,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,H4,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-12-PA01-PSCR,PA,190717-12,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,G4,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,G4,no,negative,pass,pass,no,positive,37.61000443,0.002381995,0.095279785,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-13-PA01-LICL,PA,190717-13,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,G5,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,G5,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-14-PA01-LICL,PA,190717-14,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,G6,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,G6,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190717-15-PA01-ANAM,PA,190717-15,Complete,Extraction Plate 6 2019 VS,2019_08_08,PLE,VS,PLE,G7,negative,positive,VS19-06plate6field,2019_08_09,VS19-06plate6field,PLE,VS,G7,no,negative,pass,pass,no,negative,,,,negative,,,,Bd efficiency is 165? Bsal efficiency is 82?
190725-07-VT06-LIPI,VT,190725-07,Complete,121_CLN,2019_10_09,RZlab,CLN,Pitt -80,D4,negative,positive,SERDP_144_101019,2019_10_10,SERDP_144_101019,RZlab,CLN,D8,no,negative,pass,pass,no,negative,,,,negative,,,,bit of swab plastic from E3 fell into F4prior to transferring the swab
190624-68-PA01-LISY,PA,190624-68,Incomplete,Extraction Plate 5 2019 VS,2019_08_08,PLE,VS,PLE,A7,negative,positive,VS19-07plate7field(2),UNK,VS19-07plate7field(2),PLE,VS,D7,no,negative,pass,pass,no,positive,32.52793503,164.7287445,6589.14978,POSITIVE,30.502,239.184,9567.34314,Bsal detected!
201201-ExtractionControl,NA,201201-ExtractionControl,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_20_7,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,H6,no,negative,pass,Pass,no,negative,,,,negative,,,,Bsal Efficiency 112.007
190307-03-TN01-NOVI,VT,190307-03,Complete,2019 SERDP Field Newt-VT TN,12/29/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_16_3,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,C5,no,negative,pass,Pass,no,positive,29.726,"1,304.15",52165.7959,negative,,,,Bsal Efficiency 112.007
190307-05-TN01-NOVI,VT,190307-05,Complete,2019 SERDP Field Newt-VT TN,12/29/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_16_5,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,D5,no,negative,pass,Pass,no,positive,27.629,"6,135.67",245426.875,negative,,,,Bsal Efficiency 112.007
190307-06-TN01-NOVI,VT,190307-06,Complete,2019 SERDP Field Newt-VT TN,12/29/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_16_1,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,B5,no,negative,pass,Pass,no,positive,29.299,"1,787.22",71488.81348,negative,,,,Bsal Efficiency 112.007
190307-10-TN01-NOVI,VT,190307-10,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_14_8,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,G4,no,negative,pass,Pass,no,positive,35.602,17.02,680.7937622,negative,,,,Bsal Efficiency 112.007
190320-03-TN01-NOVI,VT,190320-03,Complete,2019 SERDP Field Newt-VT TN,12/29/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_20_1,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,F6,no,negative,pass,Pass,no,negative,,,,negative,,,,Bsal Efficiency 112.007
190320-04-TN01-NOVI,VT,190320-04,Complete,2019 SERDP Field Newt-VT TN,12/29/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_20_5,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,G6,no,negative,pass,Pass,no,positive,26.748,"11,754.56",470182.3828,negative,,,,Bsal Efficiency 112.007
190320-05-TN01-NOVI,VT,190320-05,Complete,2019 SERDP Field Newt-VT TN,12/29/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_18_1,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,F5,no,negative,pass,Pass,no,positive,31.739,294.997,11799.86694,negative,,,,Bsal Efficiency 112.007
190320-06-TN01-NOVI,VT,190320-06,Complete,2019 SERDP Field Newt-VT TN,12/29/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_19_3,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,C6,no,negative,pass,Pass,no,positive,30.009,"1,057.74",42309.59961,negative,,,,Bsal Efficiency 112.007
190320-07-TN01-NOVI,VT,190320-07,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_14_7,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,F4,no,negative,pass,Pass,no,positive,37.012,6.006,240.2238655,negative,,,,Bsal Efficiency 112.007
190320-08-TN01-NOVI,VT,190320-08,Complete,2019 SERDP Field Newt-VT TN,12/29/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_18_8,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,B6,no,negative,pass,Pass,no,positive,32.833,131.465,5258.598633,negative,,,,Bsal Efficiency 112.007
190419-56-VT04-NOVI,VT,190419-56,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_12_1,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,A3,no,negative,pass,Pass,no,positive,39.18,1.212,48.48670483,negative,,,,Bsal Efficiency 112.007
190419-60-VT04-NOVI,VT,190419-60,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_13_1,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,E3,no,negative,pass,Pass,no,positive,33.905,59.56,2382.40921,negative,,,,Bsal Efficiency 112.007
190521-08-VT02-NOVI,VT,190521-08,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_11_2,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,D2,no,negative,pass,Pass,no,positive,25.871,"22,460.10",898403.9844,negative,,,,Bsal Efficiency 112.007
190523-03-VT04-NOVI,VT,190523-03,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_13_2,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,F3,no,negative,pass,Pass,no,positive,30.534,717.909,28716.3623,negative,,,,Bsal Efficiency 112.007
190523-07-VT04-NOVI,VT,190523-07,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_10_1,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,E1,no,negative,pass,Pass,no,positive,29.45,"1,598.82",63952.66113,negative,,,,Bsal Efficiency 112.007
190523-09-VT04-NOVI,VT,190523-09,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_9_8,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,D1,no,negative,pass,Pass,no,positive,33.9,59.808,2392.335052,negative,,,,Bsal Efficiency 112.007
190523-12-VT04-NOVI,VT,190523-12,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_10_3,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,F1,no,negative,pass,Pass,no,positive,31.021,501.268,20050.70679,negative,,,,Bsal Efficiency 112.007
190724-05-VT04-NOVI,VT,190724-05,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_10_8,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,C2,no,negative,pass,Pass,no,positive,36.603,8.126,325.0269699,negative,,,,Bsal Efficiency 112.007
190724-08-VT04-NOVI,VT,190724-08,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_13_8,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,B4,no,negative,pass,Pass,no,positive,38.003,2.891,115.6263065,negative,,,,Bsal Efficiency 112.007
190724-09-VT04-NOVI,VT,190724-09,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_10_4,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,G1,no,negative,pass,Pass,no,negative,,,,negative,,,,Bsal Efficiency 112.007
190724-12-VT04-NOVI,VT,190724-12,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_11_4,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,E2,no,negative,pass,Pass,no,negative,,,,negative,,,,Bsal Efficiency 112.007
190724-13-VT04-NOVI,VT,190724-13,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_12_4,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,B3,no,negative,pass,Pass,no,positive,31.223,431.69,17267.58667,negative,,,,Bsal Efficiency 112.007
190724-18-VT04-NOVI,VT,190724-18,Complete,2019 SERDP Field Newt-VT TN,12/1/20,Woodhams,Brandon LaBumbard,Umass Boston,SERDP2019FieldNOVI_13_4,Negative,NA,SERDP_2019_Newt_DNA_VT_2_6242021,6/24/21,SERDP_2019_Newt_DNA_VT_2_6242021,RzLab,MBK,G3,no,negative,pass,Pass,no,negative,,,,negative,,,,Bsal Efficiency 112.007
